date,province1_pos,province1_dis,province2_pos,province2_dis,bagmati_province_pos,bagmati_province_dis,gandaki_province_pos,gandaki_province_dis,province5_pos,province5_dis,karnali_province_pos,karnali_province_dis,sudurpaschim_province_pos,sudurpaschim_province_dis,total_positive,total_discharged
28-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31-01-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
01-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
02-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
04-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
05-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
06-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
07-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
09-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23-02-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
25-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
26-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
27-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
28-02-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
01-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
02-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
03-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
04-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
06-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
10-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
11-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
12-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
13-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
15-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
16-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
17-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
18-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
19-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
20-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
22-03-2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
23-03-2020,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1
24-03-2020,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1
25-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
26-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
27-03-2020,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1
28-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
29-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
30-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
31-03-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
01-04-2020,0,0,0,0,3,1,1,0,0,0,0,0,1,0,5,1
02-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,1,0,6,1
03-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,1,0,6,1
04-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
05-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
06-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
07-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
08-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
09-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
10-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
11-04-2020,0,0,0,0,3,1,2,0,0,0,0,0,4,0,9,1
12-04-2020,0,0,3,0,3,1,2,0,0,0,0,0,4,0,12,1
13-04-2020,0,0,4,0,3,1,2,0,0,0,0,0,5,0,14,1
14-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
15-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
16-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
17-04-2020,0,0,4,0,5,1,2,0,0,0,0,0,5,0,16,1
18-04-2020,12,0,4,0,7,2,2,0,0,0,0,0,5,0,30,2
19-04-2020,13,0,4,0,7,3,2,0,0,0,0,0,5,1,31,4
20-04-2020,13,0,4,0,7,3,2,0,0,0,0,0,5,1,31,4
21-04-2020,14,0,4,0,7,3,2,0,0,0,0,0,5,1,32,4
22-04-2020,27,0,4,0,7,4,2,0,0,0,0,0,5,3,45,7
23-04-2020,28,0,5,0,7,6,2,0,0,0,0,0,5,3,47,9
24-04-2020,29,0,5,0,7,6,2,0,0,0,0,0,5,4,48,10
